[2020/01/10 20:28:10] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10_l2/preactresnet18_5e-4', half=False, l1=0, l2=0.0005, lr_max=0.1, lr_schedule='piecewise', model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=10)
[2020/01/10 20:28:18] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/10 20:31:53] - 0 	 180.2 	 34.2 	 0.1000 	 1.9651 	 0.2811 	 2.1559 	 0.1998 	 1.7395 	 0.3777 	 1.9723 	 0.2587
[2020/01/10 20:35:26] - 1 	 179.6 	 33.1 	 0.1000 	 1.7058 	 0.3862 	 1.9783 	 0.2566 	 1.5973 	 0.4336 	 1.8748 	 0.3063
[2020/01/10 20:38:58] - 2 	 178.3 	 33.1 	 0.1000 	 1.5839 	 0.4413 	 1.9037 	 0.2860 	 1.5382 	 0.4560 	 1.8527 	 0.3100
[2020/01/10 20:42:31] - 3 	 179.0 	 33.3 	 0.1000 	 1.4997 	 0.4728 	 1.8507 	 0.2999 	 1.4257 	 0.5159 	 1.7563 	 0.3386
[2020/01/10 20:46:02] - 4 	 177.9 	 33.1 	 0.1000 	 1.4221 	 0.5117 	 1.8060 	 0.3193 	 1.4138 	 0.5167 	 1.7428 	 0.3555
[2020/01/10 20:49:35] - 5 	 178.4 	 33.3 	 0.1000 	 1.3541 	 0.5429 	 1.7663 	 0.3337 	 1.3523 	 0.5341 	 1.6982 	 0.3677
[2020/01/10 20:53:06] - 6 	 177.4 	 33.2 	 0.1000 	 1.3012 	 0.5695 	 1.7328 	 0.3475 	 1.1993 	 0.5931 	 1.6383 	 0.3866
[2020/01/10 20:56:39] - 7 	 178.6 	 34.0 	 0.1000 	 1.2465 	 0.5941 	 1.6975 	 0.3592 	 1.2130 	 0.6133 	 1.6234 	 0.3882
[2020/01/10 21:00:10] - 8 	 177.1 	 33.4 	 0.1000 	 1.2076 	 0.6112 	 1.6719 	 0.3654 	 1.1971 	 0.5987 	 1.6191 	 0.3868
[2020/01/10 21:03:42] - 9 	 177.7 	 33.7 	 0.1000 	 1.1696 	 0.6262 	 1.6480 	 0.3767 	 1.0791 	 0.6412 	 1.5912 	 0.3944
[2020/01/10 21:07:16] - 10 	 180.0 	 33.5 	 0.1000 	 1.1407 	 0.6392 	 1.6298 	 0.3835 	 1.1099 	 0.6235 	 1.5815 	 0.4080
[2020/01/10 21:10:49] - 11 	 178.6 	 33.5 	 0.1000 	 1.1125 	 0.6500 	 1.6088 	 0.3922 	 1.1269 	 0.6445 	 1.5593 	 0.4148
[2020/01/10 21:14:21] - 12 	 177.8 	 33.8 	 0.1000 	 1.0890 	 0.6617 	 1.5955 	 0.3940 	 1.0625 	 0.6642 	 1.5282 	 0.4229
[2020/01/10 21:17:53] - 13 	 177.3 	 34.1 	 0.1000 	 1.0685 	 0.6727 	 1.5812 	 0.4027 	 1.0282 	 0.6621 	 1.5687 	 0.4071
