[2019/12/20 18:20:34] - Namespace(attack='pgd', attack_iters=10, batch_size=128, data_dir='../cifar-data', epochs=200, epsilon=8, fgsm_alpha=1, fgsm_init='random', fname='experiments/cifar10/wideresnet_3', half=False, lr_max=0.1, lr_schedule='piecewise', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, width_factor=3)
[2019/12/20 18:20:38] - Epoch 	 Train Time 	 Test Time 	 LR 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2019/12/20 18:25:43] - 0 	 256.6 	 48.6 	 0.1000 	 1.9488 	 0.2854 	 2.1309 	 0.2032 	 1.7436 	 0.3736 	 1.9688 	 0.2674
[2019/12/20 18:30:56] - 1 	 263.5 	 48.6 	 0.1000 	 1.6936 	 0.3947 	 1.9688 	 0.2630 	 1.6077 	 0.4527 	 1.8731 	 0.2996
[2019/12/20 18:36:07] - 2 	 262.3 	 48.4 	 0.1000 	 1.5632 	 0.4565 	 1.8890 	 0.2909 	 1.4706 	 0.4852 	 1.7979 	 0.3245
[2019/12/20 18:41:17] - 3 	 261.6 	 48.6 	 0.1000 	 1.4681 	 0.4993 	 1.8308 	 0.3105 	 1.4125 	 0.5018 	 1.7542 	 0.3365
[2019/12/20 18:46:27] - 4 	 261.6 	 48.6 	 0.1000 	 1.3817 	 0.5409 	 1.7786 	 0.3279 	 1.3355 	 0.5285 	 1.7144 	 0.3567
[2019/12/20 18:51:37] - 5 	 261.6 	 48.3 	 0.1000 	 1.3122 	 0.5698 	 1.7323 	 0.3434 	 1.2387 	 0.5999 	 1.6546 	 0.3783
[2019/12/20 18:56:48] - 6 	 261.5 	 48.4 	 0.1000 	 1.2652 	 0.5943 	 1.7037 	 0.3569 	 1.2131 	 0.5829 	 1.6208 	 0.3886
[2019/12/20 19:01:58] - 7 	 262.0 	 48.5 	 0.1000 	 1.2163 	 0.6140 	 1.6702 	 0.3672 	 1.2017 	 0.6162 	 1.5979 	 0.4038
[2019/12/20 19:07:09] - 8 	 262.1 	 48.5 	 0.1000 	 1.1828 	 0.6258 	 1.6497 	 0.3758 	 1.1561 	 0.6248 	 1.6067 	 0.3898
[2019/12/20 19:12:20] - 9 	 262.1 	 48.6 	 0.1000 	 1.1420 	 0.6460 	 1.6222 	 0.3841 	 1.1094 	 0.6243 	 1.5672 	 0.4106
[2019/12/20 19:17:30] - 10 	 261.8 	 48.4 	 0.1000 	 1.1203 	 0.6586 	 1.6096 	 0.3923 	 1.0779 	 0.6569 	 1.5345 	 0.4200
[2019/12/20 19:22:41] - 11 	 262.4 	 48.5 	 0.1000 	 1.0967 	 0.6658 	 1.5903 	 0.3979 	 1.0763 	 0.6656 	 1.5469 	 0.4156
[2019/12/20 19:27:52] - 12 	 262.5 	 48.5 	 0.1000 	 1.0814 	 0.6710 	 1.5814 	 0.4041 	 1.0509 	 0.6854 	 1.5353 	 0.4270
[2019/12/20 19:33:03] - 13 	 262.1 	 48.4 	 0.1000 	 1.0643 	 0.6831 	 1.5685 	 0.4078 	 1.0624 	 0.6676 	 1.5300 	 0.4272
[2019/12/20 19:38:14] - 14 	 262.1 	 48.4 	 0.1000 	 1.0415 	 0.6890 	 1.5536 	 0.4141 	 1.0252 	 0.6690 	 1.5268 	 0.4334
