[2020/01/29 23:00:07] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=110, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='experiments/cifar10_startlr/preactresnet_0.08', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.08, lr_one_drop=0.01, lr_schedule='onedrop', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2020/01/29 23:00:11] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2020/01/29 23:05:26] - 0 	 265.8 	 	 49.4 	 	 0.0800 	 1.9535 	 0.2837 	 2.1492 	 	 0.2007 	 	 1.7340 	 0.3773 	 1.9597 	 	 0.2632
[2020/01/29 23:10:42] - 1 	 266.4 	 	 49.5 	 	 0.0800 	 1.6889 	 0.3929 	 1.9658 	 	 0.2615 	 	 1.5722 	 0.4422 	 1.8569 	 	 0.3118
[2020/01/29 23:15:59] - 2 	 266.7 	 	 49.5 	 	 0.0800 	 1.5651 	 0.4505 	 1.8889 	 	 0.2916 	 	 1.5399 	 0.4582 	 1.8377 	 	 0.3167
[2020/01/29 23:21:16] - 3 	 266.8 	 	 49.5 	 	 0.0800 	 1.4769 	 0.4853 	 1.8322 	 	 0.3061 	 	 1.4073 	 0.5221 	 1.7550 	 	 0.3419
[2020/01/29 23:26:32] - 4 	 267.0 	 	 49.6 	 	 0.0800 	 1.3950 	 0.5269 	 1.7844 	 	 0.3273 	 	 1.3718 	 0.5375 	 1.7211 	 	 0.3584
[2020/01/29 23:31:49] - 5 	 267.0 	 	 49.5 	 	 0.0800 	 1.3262 	 0.5574 	 1.7409 	 	 0.3423 	 	 1.2865 	 0.5572 	 1.6628 	 	 0.3769
[2020/01/29 23:37:06] - 6 	 267.0 	 	 49.6 	 	 0.0800 	 1.2718 	 0.5861 	 1.7030 	 	 0.3578 	 	 1.1809 	 0.6093 	 1.6062 	 	 0.4018
[2020/01/29 23:42:24] - 7 	 267.3 	 	 49.6 	 	 0.0800 	 1.2172 	 0.6094 	 1.6673 	 	 0.3699 	 	 1.1573 	 0.6255 	 1.5988 	 	 0.3967
[2020/01/29 23:47:41] - 8 	 267.4 	 	 49.6 	 	 0.0800 	 1.1734 	 0.6306 	 1.6373 	 	 0.3783 	 	 1.1231 	 0.6259 	 1.5743 	 	 0.4046
[2020/01/29 23:52:58] - 9 	 267.3 	 	 49.6 	 	 0.0800 	 1.1379 	 0.6466 	 1.6146 	 	 0.3870 	 	 1.0724 	 0.6608 	 1.5608 	 	 0.4108
[2020/01/29 23:58:16] - 10 	 267.5 	 	 49.6 	 	 0.0800 	 1.1075 	 0.6603 	 1.5946 	 	 0.3965 	 	 1.0991 	 0.6337 	 1.5599 	 	 0.4113
[2020/01/30 00:03:34] - 11 	 267.8 	 	 49.6 	 	 0.0800 	 1.0821 	 0.6698 	 1.5753 	 	 0.4051 	 	 1.0997 	 0.6575 	 1.5354 	 	 0.4277
[2020/01/30 00:08:52] - 12 	 267.8 	 	 49.6 	 	 0.0800 	 1.0601 	 0.6801 	 1.5625 	 	 0.4076 	 	 1.0295 	 0.6760 	 1.5076 	 	 0.4318
[2020/01/30 00:14:10] - 13 	 267.9 	 	 49.6 	 	 0.0800 	 1.0406 	 0.6887 	 1.5486 	 	 0.4153 	 	 1.0186 	 0.6740 	 1.5426 	 	 0.4190
[2020/01/30 00:19:27] - 14 	 267.8 	 	 49.5 	 	 0.0800 	 1.0203 	 0.6964 	 1.5335 	 	 0.4193 	 	 1.0030 	 0.6891 	 1.5122 	 	 0.4266
[2020/01/30 00:24:45] - 15 	 267.8 	 	 49.6 	 	 0.0800 	 1.0037 	 0.7051 	 1.5214 	 	 0.4199 	 	 0.9786 	 0.7038 	 1.4834 	 	 0.4433
[2020/01/30 00:30:03] - 16 	 267.9 	 	 49.6 	 	 0.0800 	 0.9908 	 0.7106 	 1.5116 	 	 0.4268 	 	 0.9897 	 0.6689 	 1.4862 	 	 0.4466
[2020/01/30 00:35:20] - 17 	 267.8 	 	 49.6 	 	 0.0800 	 0.9757 	 0.7148 	 1.5017 	 	 0.4304 	 	 0.9906 	 0.7000 	 1.4795 	 	 0.4512
[2020/01/30 00:40:38] - 18 	 268.0 	 	 49.6 	 	 0.0800 	 0.9663 	 0.7182 	 1.4945 	 	 0.4316 	 	 0.9328 	 0.7106 	 1.4951 	 	 0.4362
